date,category,amount
2022-09-06,Restuarant,1
2022-09-07,Restuarant,13
2022-09-07,Business lunch,4.5
2022-09-08,Business lunch,4.5
2022-09-08,Coffe,7.6
2022-09-09,Business lunch,9
2022-09-09,Coffe,7.6
2022-09-10,Restuarant,25
2022-09-10,Taxi,4
2022-09-10,Coffe,7.6
2022-09-10,Coffe,7.6
2022-09-10,Coffe,6.5
2022-09-10,Coffe,6.7
2022-09-10,Restuarant,18
2022-09-10,Coffe,6.5
2022-09-10,Taxi,4
2022-09-11,Restuarant,7
2022-09-11,Taxi,3
2022-09-11,Coffe,6.7
2022-09-11,Coffe,7.6
2022-09-11,Coffe,6.5
2022-09-11,Market,1.15
2022-09-12,Phone,5
2022-09-12,Business lunch,3.5
2022-09-12,Restuarant,1
2022-09-12,Coffe,7.6
2022-09-12,Market,2.6
2022-09-13,Market,7.34
2022-09-13,Business lunch,2
2022-09-13,Taxi,4.5
2022-09-13,Restuarant,9.5
2022-09-14,Market,6.65
2022-09-14,Business lunch,8.5
2022-09-15,Business lunch,8.4
2022-09-15,Coffe,14.2
2022-09-16,Market,0.9
2022-09-16,Business lunch,6
2022-09-16,Travel,50
2022-09-16,Coffe,7.6
2022-09-16,Restuarant,8
2022-09-16,Business lunch,0.6
2022-09-16,Market,5.6
2022-09-17,Coffe,6.5
2022-09-17,Restuarant,12
2022-09-17,Coffe,6.5
2022-09-17,Taxi,3
2022-09-17,Transport,5
2022-09-17,Coffe,7.6
2022-09-17,Coffe,6.5
2022-09-17,Market,2.6
2022-09-17,Taxi,3
2022-09-19,Business lunch,8.4
2022-09-19,Coffe,7.6
2022-09-19,Market,13
2022-09-20,Business lunch,8.4
2022-09-20,Coffe,7.6
2022-09-20,Coffe,6.5
2022-09-21,Coffe,1.8
2022-09-21,Business lunch,8.4
2022-09-21,Restuarant,9
2022-09-21,Market,1.7
2022-09-22,Coffe,7.6
2022-09-22,Phone,2
2022-09-22,Market,1.2
2022-09-23,Coffe,6.5
2022-09-23,Restuarant,25
2022-09-23,Coffe,6.7
2022-09-23,Market,4.7
2022-09-24,Taxi,4
2022-09-24,Coffe,25
2022-09-24,Transport,3
2022-09-24,Restuarant,16
2022-09-24,Taxi,1.4
2022-09-24,Taxi,2.5
2022-09-24,Market,4
2022-09-25,Coffe,7.6
2022-09-25,Phone,3
2022-09-25,Coffe,11.6
2022-09-25,Restuarant,15
2022-09-25,Market,3
2022-09-25,Restuarant,10.5
2022-09-26,Transport,1
2022-09-26,Business lunch,9
2022-09-26,Market,1.83
2022-09-26,Coffe,7.6
2022-09-26,Market,2.55
2022-09-27,Taxi,4
2022-09-27,Coffe,7.6
2022-09-27,Market,9
2022-09-28,Business lunch,8.3
2022-09-28,Phone,4
2022-09-28,Restuarant,19
2022-09-28,Taxi,4
2022-09-29,Business lunch,8.5
2022-09-29,Market,2.55
2022-09-30,Market,4
2022-09-30,Market,0.9
2022-09-30,Business lunch,12
2022-09-30,Coffe,14
2022-09-30,Coffe,6.7
2022-09-30,Taxi,4
2022-10-01,Coffe,5.7
2022-10-01,Restuarant,38.5
2022-10-01,Coffe,11
2022-10-01,Coffe,5.7
2022-10-01,Market,15.6
2022-10-01,Clothing,45
2022-10-01,Clothing,153
2022-10-01,Clothing,50
2022-10-01,Coffe,4.55
2022-10-02,Taxi,4
2022-10-02,Coffe,11.4
2022-10-02,Restuarant,14
2022-10-02,Film/enjoyment,7
2022-10-02,Restuarant,9.5
2022-10-02,Transport,3
2022-10-02,Market,2
2022-10-03,Market,1
2022-10-03,Business lunch,9
2022-10-03,Restuarant,10
2022-10-03,Market,3.3
2022-10-04,Market,4.1
2022-10-04,Business lunch,3
2022-10-04,Health,10
2022-10-04,Restuarant,10
2022-10-05,Market,1.9
2022-10-05,Business lunch,5
2022-10-05,Coffe,7.6
2022-10-05,Coffe,7
2022-10-06,Market,1
2022-10-06,Travel,60.2
2022-10-06,Coffe,5.7
2022-10-06,Coffe,5.7
2022-10-06,Restuarant,11
2022-10-06,Transport,0.9
2022-10-06,Market,3
2022-10-07,Market,2.2
2022-10-07,Business lunch,10
2022-10-07,Coffe,7
2022-10-07,Market,2
2022-10-08,Communal,45
2022-10-08,Market,5
2022-10-08,Phone,3
2022-10-08,Coffe,13
2022-10-08,Coffe,6.7
2022-10-08,Coffe,6.7
2022-10-08,Restuarant,30
2022-10-09,Transport,7
2022-10-09,Phone,10
2022-10-09,Coffe,19
2022-10-09,Coffe,6.7
2022-10-09,Restuarant,12
2022-10-09,Coffe,6.7
2022-10-09,Taxi,6
2022-10-09,Market,2.8
2022-10-10,Coffe,5.7
2022-10-10,Coffe,6.7
2022-10-10,Coffe,6.6
2022-10-10,Coffe,1.6
2022-10-10,Restuarant,16
2022-10-10,Coffe,16
2022-10-11,Market,1
2022-10-11,Business lunch,9
2022-10-11,Restuarant,7
2022-10-11,Coffe,6.7
2022-10-11,Learning,6.7
2022-10-11,Coffe,6.7
2022-10-11,Transport,1
2022-10-11,Market,1.2
2022-10-12,Market,1
2022-10-12,Restuarant,14
2022-10-12,Business lunch,5
2022-10-12,Coffe,5.7
2022-10-12,Coffe,5.7
2022-10-13,Events,20
2022-10-13,Market,3.7
2022-10-13,Business lunch,9
2022-10-13,Restuarant,14
2022-10-13,Market,0.6
2022-10-13,Coffe,7
2022-10-13,Coffe,5.7
2022-10-13,Market,5.49
2022-10-14,Market,1.5
2022-10-14,Business lunch,11
2022-10-14,Coffe,5.7
2022-10-14,Coffe,6.77
2022-10-15,Taxi,5
2022-10-15,Coffe,5.7
2022-10-15,Coffe,11.2
2022-10-15,Clothing,100
2022-10-15,Coffe,5.7
2022-10-15,Coffe,5.4
2022-10-15,Market,1
2022-10-15,Market,0.7
2022-10-16,Restuarant,11
2022-10-16,Restuarant,2
2022-10-16,Coffe,6.5
2022-10-16,Transport,2
2022-10-16,Market,9
2022-10-17,Communal,150
2022-10-17,Business lunch,10
2022-10-18,Market,1.8
2022-10-18,Business lunch,4
2022-10-18,Market,0.6
2022-10-18,Transport,2
2022-10-18,Restuarant,18
2022-10-19,Learning,21
2022-10-19,Coffe,11.4
2022-10-19,Restuarant,5.2
2022-10-19,Coffe,6.7
2022-10-19,Coffe,5.7
2022-10-19,Restuarant,12
2022-10-19,Sport,2.46
2022-10-20,Coffe,13
2022-10-20,Phone,1
2022-10-20,Coffe,5.7
2022-10-20,Coffe,6
2022-10-20,Coffe,7
2022-10-20,Coffe,6
2022-10-20,Coffe,1.6
2022-10-21,Coffe,11.5
2022-10-21,Coffe,13.2
2022-10-22,Learning,135
2022-10-22,Coffe,14
2022-10-22,Coffe,5.7
2022-10-22,Market,4.43
2022-10-23,Coffe,10.5
2022-10-23,Taxi,4
2022-10-23,Coffe,5.7
2022-10-23,Transport,5
2022-10-23,Coffe,11.7
2022-10-23,Market,6
2022-10-24,Market,1
2022-10-24,Learning,43
2022-10-24,Business lunch,7
2022-10-24,Coffe,0.6
2022-10-24,Coffe,7.7
2022-10-24,Coffe,5.7
2022-10-25,Business lunch,5
2022-10-25,Phone,5
2022-10-25,Coffe,6
2022-10-25,Coffe,12
2022-10-25,Restuarant,4
2022-10-26,Market,4.5
2022-10-26,Coffe,7.7
2022-10-26,Business lunch,11.52
2022-10-27,Business lunch,41
2022-10-27,Market,0.6
2022-10-28,Market,1.9
2022-10-28,Business lunch,10
2022-10-28,Coffe,10.4
2022-10-29,Coffe,13
2022-10-29,Restuarant,39
2022-10-29,Coffe,5.7
2022-10-29,Health,10
2022-10-29,Market,1.2
2022-10-29,Market,1.5
2022-10-30,Transport,5
2022-10-30,Coffe,6.7
2022-10-30,Transport,3
2022-10-30,Events,20
2022-10-30,Restuarant,23
2022-10-30,Coffe,5.7
2022-10-31,Market,1
2022-10-31,Market,20
2022-10-31,Business lunch,9
2022-10-31,Coffe,2.7
2022-10-31,Coffe,7
2022-10-31,Restuarant,6
2022-11-01,Market,1.9
2022-11-01,Business lunch,9
2022-11-01,Transport,4
2022-11-02,Market,1.5
2022-11-02,Phone,10
2022-11-02,Market,3.14
2022-11-02,Business lunch,5.5
2022-11-02,Coffe,8
2022-11-03,Market,1.92
2022-11-03,Business lunch,6
2022-11-03,Coffe,6.7
2022-11-04,Market,6.3
2022-11-04,Business lunch,6
2022-11-04,Coffe,6.58
2022-11-04,Market,0.6
2022-11-04,Coffe,7
2022-11-04,Restuarant,39
2022-11-05,Market,2.22
2022-11-05,Market,1.32
2022-11-05,Business lunch,10
2022-11-05,Coffe,5.7
2022-11-05,Coffe,5.7
2022-11-05,Market,7.2
2022-11-06,Transport,0.7
2022-11-06,Coffe,15.7
2022-11-06,Coffe,12.6
2022-11-06,Market,8.7
2022-11-07,Market,4.2
2022-11-07,Coffe,6.1
2022-11-07,Restuarant,9.45
2022-11-08,Coffe,10.3
2022-11-08,Coffe,6.5
2022-11-08,Coffe,6.1
2022-11-08,Market,23.77
2022-11-09,Coffe,6.1
2022-11-09,Coffe,6.1
2022-11-09,Transport,3
2022-11-09,Restuarant,5.4
2022-11-10,Coffe,6.1
2022-11-10,Restuarant,7.1
2022-11-10,Coffe,6.7
2022-11-10,Coffe,6.1
2022-11-11,Taxi,7
2022-11-11,Taxi,6
2022-11-11,Market,12
2022-11-11,Taxi,3
2022-11-11,Taxi,6
2022-11-11,Taxi,5
2022-11-11,Restuarant,7.1
2022-11-11,Transport,0.6
2022-11-11,Coffe,7
2022-11-11,Coffe,1.5
2022-11-11,Market,7.67
2022-11-12,Coffe,17.6
2022-11-12,Coffe,6.1
2022-11-12,Market,8.52
2022-11-13,Coffe,6.1
2022-11-13,Coffe,13
2022-11-14,Market,4.32
2022-11-14,Market,8
2022-11-14,Business lunch,5
2022-11-14,Coffe,6.1
2022-11-14,Coffe,6.1
2022-11-14,Coffe,6.5
2022-11-14,Market,2.9
2022-11-15,Market,1.94
2022-11-15,Market,0.65
2022-11-15,Business lunch,15
2022-11-15,Coffe,7
2022-11-16,Health,10
2022-11-16,Market,1.4
2022-11-16,Restuarant,6
2022-11-16,Coffe,6.1
2022-11-16,Coffe,6.1
2022-11-17,Business lunch,8
2022-11-17,Market,2
2022-11-17,Market,5.63
2022-11-18,Market,1.37
2022-11-18,Business lunch,6
2022-11-18,Market,0.72
2022-11-18,Coffe,6.1
2022-11-18,Market,15
2022-11-18,Learning,8
2022-11-19,Coffe,6.9
2022-11-19,Coffe,6.7
2022-11-19,Taxi,6
2022-11-19,Market,2.1
2022-11-20,Coffe,20.1
2022-11-20,Restuarant,19
2022-11-20,Coffe,6.7
2022-11-20,Events,50
2022-11-21,Coffe,6.7
2022-11-21,Market,10
2022-11-21,Coffe,7
2022-11-21,Restuarant,7.5
2022-11-22,Market,10
2022-11-22,Transport,2
2022-11-22,Learning,17
2022-11-22,Phone,3
2022-11-22,Business lunch,7
2022-11-22,Market,0.7
2022-11-22,Market,1.45
2022-11-22,Coffe,6.7
2022-11-22,Restuarant,18
2022-11-23,Market,1.6
2022-11-23,Business lunch,7
2022-11-23,Market,0.72
2022-11-23,Coffe,6.7
2022-11-23,Coffe,6.7
2022-11-24,Market,1.9
2022-11-24,Transport,5
2022-11-24,Business lunch,7
2022-11-24,Market,1.5
2022-11-24,Events,7.5
2022-11-24,Coffe,6.7
2022-11-24,Market,6.71
2022-11-25,Market,1.72
2022-11-25,Business lunch,9
2022-11-25,Learning,14
2022-11-25,Coffe,8
2022-11-25,Coffe,6.2
2022-11-25,Phone,5
2022-11-25,Market,5.88
2022-11-26,Coffe,6.7
2022-11-26,Restuarant,7.1
2022-11-26,Coffe,6.7
2022-11-26,Coffe,6.7
2022-11-26,Coffe,6.6
2022-11-26,Market,5.7
2022-11-27,Coffe,6.7
2022-11-27,Coffe,6.7
2022-11-27,Market,4
2022-11-28,Market,1.17
2022-11-28,Restuarant,14
2022-11-28,Business lunch,7
2022-11-28,Transport,1
2022-11-29,Taxi,2
2022-11-29,Taxi,2
2022-11-29,Taxi,3.62
2022-11-29,Coffe,5
2022-11-29,Market,3.62
2022-11-30,Market,1.4
2022-11-30,Business lunch,8
2022-11-30,Coffe,7.1
2022-11-30,Coffe,4
2022-11-30,Restuarant,11.5
2022-12-01,Market,2.7
2022-12-01,Business lunch,7
2022-12-01,Coffe,6.7
2022-12-01,Transport,6
2022-12-02,Market,9.5
2022-12-02,Phone,0.88
2022-12-02,Health,57
2022-12-02,Business lunch,10
2022-12-02,Coffe,6.7
2022-12-02,Market,7.7
2022-12-03,Coffe,6.7
2022-12-03,Coffe,6.7
2022-12-03,Coffe,6.7
2022-12-03,Coffe,6.7
2022-12-03,Market,19
2022-12-03,Health,10
2022-12-04,Coffe,6.9
2022-12-04,Coffe,6.5
2022-12-04,Restuarant,5.2
2022-12-04,Coffe,6.7
2022-12-04,Coffe,6.7
2022-12-04,Clothing,7
2022-12-04,Coffe,6.1
2022-12-05,Learning,20
2022-12-05,Travel,55
2022-12-05,Business lunch,10
2022-12-05,Coffe,7.6
2022-12-05,Coffe,7.6
2022-12-05,Market,11.7
2022-12-06,Business lunch,7
2022-12-06,Coffe,6.7
2022-12-06,Market,8
2022-12-07,Coffe,3.23
2022-12-07,Market,20
2022-12-07,Business lunch,7
2022-12-08,Restuarant,5.2
2022-12-08,Coffe,6.7
2022-12-08,Coffe,6.7
2022-12-08,Coffe,6.7
2022-12-08,Coffe,7
2022-12-09,Coffe,7.6
2022-12-09,Coffe,6.9
2022-12-09,Coffe,13.6
2022-12-09,Coffe,6.7
2022-12-09,Market,9.75
2022-12-10,Coffe,6.7
2022-12-10,Coffe,6.7
2022-12-10,Market,6.8
2022-12-11,Restuarant,13.2
2022-12-11,Market,10
2022-12-11,Coffe,6.7
2022-12-12,Market,9.23
2022-12-12,Business lunch,7
2022-12-12,Events,12.5
2022-12-12,Coffe,6.7
2022-12-12,Market,13
2022-12-12,Health,36
2022-12-13,Learning,18
2022-12-13,Communal,170
2022-12-13,Business lunch,7
2022-12-13,Coffe,6.7
2022-12-13,Market,6.22
2022-12-14,Market,4.23
2022-12-14,Clothing,200
2022-12-14,Business lunch,7
2022-12-14,Coffe,6.7
2022-12-14,Coffe,6.7
2022-12-15,Market,6.4
2022-12-15,Business lunch,10
2022-12-15,Coffe,6.7
2022-12-15,Coffe,6.7
2022-12-16,Market,6
2022-12-16,Business lunch,10
2022-12-16,Coffe,7
2022-12-16,Phone,1.7
2022-12-16,Transport,5
2022-12-16,Market,9.2
2022-12-18,Learning,10
2022-12-18,Coffe,6.7
2022-12-18,Market,12.3
2022-12-19,Market,1.4
2022-12-19,Business lunch,5
2022-12-19,Coffe,6.7
2022-12-20,Market,3.51
2022-12-20,Phone,1.21
2022-12-20,Business lunch,10
2022-12-20,Market,0.5
2022-12-20,Coffe,6.7
2022-12-21,Business lunch,7
2022-12-21,Coffe,6.7
2022-12-21,Coffe,6.7
2022-12-21,Coffe,6.7
2022-12-22,Market,3
2022-12-22,Business lunch,7
2022-12-22,Coffe,6.7
2022-12-23,Market,1.22
2022-12-23,Business lunch,6
2022-12-23,Coffe,6.7
2022-12-23,Coffe,6.7
2022-12-24,Coffe,6.7
2022-12-24,Restuarant,20
2022-12-24,Coffe,6.7
2022-12-24,Coffe,6.7
2022-12-24,Learning,24
2022-12-24,Market,1.44
2022-12-25,Restuarant,5.2
2022-12-25,Coffe,6.7
2022-12-25,Coffe,6.7
2022-12-25,Coffe,13.6
2022-12-25,Coffe,6.7
2022-12-25,Market,15
2022-12-26,Transport,2
2022-12-26,Market,4
2022-12-26,Market,3
2022-12-26,Phone,15
2022-12-26,Business lunch,6
2022-12-26,Coffe,6.7
2022-12-26,Transport,3
2022-12-26,Market,2.23
2022-12-27,Market,1.15
2022-12-27,Coffe,6.7
2022-12-27,Transport,3
2022-12-27,Coffe,6.7
2022-12-27,Coffe,13.5
2022-12-27,Market,4
2022-12-28,Other,10
2022-12-28,Taxi,15
2022-12-28,Other,20
2022-12-28,Restuarant,16
2022-12-28,Taxi,1
2022-12-28,Coffe,6.7
2022-12-28,Health,10
2022-12-28,Market,3.8
2022-12-29,Taxi,2.4
2022-12-29,Taxi,3.63
2022-12-29,Coffe,10.7
2022-12-29,Coffe,6.7
2022-12-29,Taxi,4
2022-12-29,Taxi,2
2022-12-29,Transport,5
2022-12-30,Market,1.8
2022-12-30,Business lunch,6
2022-12-30,Coffe,6.7
2022-12-30,Coffe,6.7
2022-12-30,Market,34
2022-12-31,Learning,17
2023-01-01,Restuarant,52
2023-01-01,Coffe,20
2023-01-01,Coffe,6.7
2023-01-01,Coffe,6.7
2023-01-02,Transport,0.8
2023-01-02,Coffe,13.9
2023-01-02,Coffe,6.7
2023-01-02,Coffe,6.7
2023-01-02,Coffe,6.7
2023-01-02,Coffe,7
2023-01-02,Learning,6.9
2023-01-02,Market,23
2023-01-03,Coffe,6.7
2023-01-03,Coffe,6.7
2023-01-03,Coffe,6.7
2023-01-03,Market,3.7
2023-01-04,Coffe,6.7
2023-01-04,Coffe,6.7
2023-01-04,Coffe,14
2023-01-04,Health,43.2
2023-01-04,Market,7.47
2023-01-05,Market,2.11
2023-01-05,Coffe,6
2023-01-05,Sport,68
2023-01-05,Market,2.14
2023-01-05,Coffe,6.7
2023-01-05,Market,1.44
2023-01-06,Business lunch,17
2023-01-06,Market,4.4
2023-01-06,Coffe,6.7
2023-01-06,Coffe,6.7
2023-01-07,Coffe,6.7
2023-01-07,Market,0.9
2023-01-07,Coffe,7.6
2023-01-07,Transport,5
2023-01-07,Market,5.4
2023-01-08,Coffe,6.7
2023-01-08,Coffe,6.7
2023-01-08,Coffe,6.7
2023-01-08,Coffe,6.7
2023-01-09,Business lunch,7
2023-01-09,Taxi,2
2023-01-09,Market,0.88
2023-01-10,Restuarant,55
2023-01-10,Market,2.5
2023-01-10,Coffe,6
2023-01-10,Business lunch,5
2023-01-10,Market,14
2023-01-10,Market,1.88
2023-01-10,Market,2
2023-01-10,Restuarant,1
2023-01-11,Business lunch,11.2
2023-01-11,Market,0.5
2023-01-11,Coffe,6.4
2023-01-11,Coffe,6.7
2023-01-11,Taxi,4
2023-01-13,Coffe,6.7
2023-01-13,Coffe,6.7
2023-01-13,Coffe,9
2023-01-13,Learning,16
2023-01-13,Market,6.3
2023-01-14,Coffe,13.6
2023-01-14,Coffe,6.7
2023-01-14,Coffe,6.7
2023-01-14,Transport,5
2023-01-14,Market,20
2023-01-15,Taxi,2.1
2023-01-15,Market,0.7
2023-01-15,Restuarant,5.3
2023-01-15,Coffe,6.7
2023-01-15,Coffe,6.7
2023-01-15,Coffe,6.7
2023-01-15,Phone,3
2023-01-15,Taxi,1.7
2023-01-15,Clothing,6
2023-01-15,Market,1.5
2023-01-16,Market,2.55
2023-01-16,Market,0.7
2023-01-16,Business lunch,9
2023-01-16,Market,2
2023-01-16,Market,1.4
2023-01-17,Market,2.45
2023-01-17,Restuarant,11
2023-01-17,Communal,174
2023-01-17,Taxi,2.13
2023-01-17,Coffe,6.7
2023-01-17,Coffe,7.2
2023-01-18,Market,1.75
2023-01-18,Business lunch,10
2023-01-18,Market,1.74
2023-01-18,Coffe,7.9
2023-01-18,Market,4.18
2023-01-18,Health,36
2023-01-19,Business lunch,9
2023-01-19,Market,0.52
2023-01-19,Coffe,6.7
2023-01-20,Taxi,1.7
2023-01-20,Market,0.5
2023-01-20,Coffe,13.9
2023-01-20,Coffe,6.7
2023-01-20,Coffe,6.7
2023-01-20,Transport,5
2023-01-20,Market,1
2023-01-20,Market,5.8
2023-01-20,Restuarant,18
2023-01-21,Coffe,13.9
2023-01-21,Coffe,6.7
2023-01-21,Coffe,6.7
2023-01-21,Restuarant,13
2023-01-21,Taxi,5
2023-01-22,Taxi,1.6
2023-01-22,Coffe,13.9
2023-01-22,Coffe,6.7
2023-01-22,Restuarant,11
2023-01-22,Market,1.6
2023-01-22,Market,1
2023-01-22,Market,3.8
2023-01-23,Market,3.8
2023-01-23,Business lunch,8.4
2023-01-23,Market,1.9
2023-01-23,Phone,3
2023-01-23,Coffe,6.7
2023-01-24,Business lunch,8
2023-01-24,Coffe,3
2023-01-24,Restuarant,35
2023-01-24,Coffe,13.9
2023-01-25,Market,3
2023-01-25,Taxi,1.28
2023-01-25,Market,2.7
2023-01-25,Taxi,1.28
2023-01-25,Market,1.14
2023-01-25,Coffe,6.7
2023-01-25,Coffe,6.7
2023-01-25,Taxi,1.28
2023-01-25,Restuarant,10
2023-01-26,Other,20
2023-01-26,Learning,441
2023-01-26,Restuarant,5.3
2023-01-26,Coffe,6.7
2023-01-26,Coffe,6.7
2023-01-26,Learning,16
2023-01-26,Market,24.33
2023-01-27,Coffe,6.7
2023-01-27,Coffe,6.7
2023-01-27,Coffe,6.7
2023-01-27,Coffe,6.9
2023-01-27,Transport,5
2023-01-27,Market,4
2023-01-28,Market,0.72
2023-01-28,Restuarant,7.2
2023-01-28,Coffe,6.7
2023-01-28,Coffe,6.7
2023-01-28,Coffe,6.7
2023-01-28,Coffe,6.7
2023-01-28,Health,36
2023-01-28,Market,11.64
